step	loss
0	0.00131226
1	0.00131226
2	0.00131226
3	0.00131226
4	0.00131226
5	0.00131226
6	0.00131226
7	0.00131226
8	0.00131226
9	0.00131226
10	0.00131226
11	0.00131226
12	0.00131226
13	0.00131226
14	0.00131226
15	0.00131226
16	0.00131226
17	0.00131226
18	0.00131226
19	0.00131226
20	0.00131226
21	0.00131226
22	0.00131226
23	0.00131226
24	0.00131226
25	0.00131226
26	0.00131226
27	0.00131226
28	0.00131226
29	0.00131226
30	0.00131226
31	0.00131226
32	0.00131226
33	0.00131226
34	0.00131226
35	0.00131226
36	0.00131226
37	0.00131226
38	0.00131226
39	0.00131226
40	0.00131226
41	0.00131226
42	0.00131226
43	0.00131226
44	0.00131226
45	0.00131226
46	0.00131226
47	0.00131226
48	0.00131226
49	0.00131226
50	0.00131226
51	0.00131226
52	0.00131226
53	0.00131226
54	0.00131226
55	0.00131226
56	0.00131226
57	0.00131226
58	0.00131226
59	0.00131226
60	0.00131226
61	0.00131226
62	0.00131226
63	0.00131226
64	0.00131226
65	0.00131226
66	0.00131226
67	0.00131226
68	0.00131226
69	0.00131226
70	0.00131226
71	0.00131226
72	0.00131226
73	0.00131226
74	0.00131226
75	0.00131226
76	0.00131226
77	0.00131226
78	0.00131226
79	0.00131226
80	0.00131226
81	0.00131226
82	0.00131226
83	0.00131226
84	0.00131226
85	0.00131226
86	0.00131226
87	0.00131226
88	0.00131226
89	0.00131226
90	0.00131226
91	0.00131226
92	0.00131226
93	0.00131226
94	0.00131226
95	0.00131226
96	0.00131226
97	0.00131226
98	0.00131226
99	0.00131226
100	0.00131226
101	0.00131226
102	0.00131226
103	0.00131226
104	0.00131226
105	0.00131226
106	0.00131226
107	0.00131226
108	0.00131226
109	0.00131226
110	0.00131226
111	0.00131226
112	0.00131226
113	0.00131226
114	0.00131226
115	0.00131226
116	0.00131226
117	0.00131226
118	0.00131226
119	0.00131226
120	0.00131226
121	0.00131226
122	0.00131226
123	0.00131226
124	0.00131226
125	0.00131226
126	0.00131226
127	0.00131226
128	0.00131226
129	0.00131226
130	0.00131226
131	0.00131226
132	0.00131226
133	0.00131226
134	0.00131226
135	0.00131226
136	0.00131226
137	0.00131226
138	0.00131226
139	0.00131226
140	0.00131226
141	0.00131226
142	0.00131226
143	0.00131226
144	0.00131226
145	0.00131226
146	0.00131226
147	0.00131226
148	0.00131226
149	0.00131226
150	0.00131226
151	0.00131226
152	0.00131226
153	0.00131226
154	0.00131226
155	0.00131226
156	0.00131226
157	0.00131226
158	0.00131226
159	0.00131226
160	0.00131226
161	0.00131226
162	0.00131226
163	0.00131226
164	0.00131226
165	0.00131226
166	0.00131226
167	0.00131226
168	0.00131226
169	0.00131226
170	0.00131226
171	0.00131226
172	0.00131226
173	0.00131226
174	0.00131226
175	0.00131226
176	0.00131226
177	0.00131226
178	0.00131226
179	0.00131226
180	0.00131226
181	0.00131226
182	0.00131226
183	0.00131226
184	0.00131226
185	0.00131226
186	0.00131226
187	0.00131226
188	0.00131226
189	0.00131226
190	0.00131226
191	0.00131226
192	0.00131226
193	0.00131226
194	0.00131226
195	0.00131226
196	0.00131226
197	0.00131226
198	0.00131226
199	0.00131226
