step	loss
0	0.0013275146484375
1	0.0011749267578125
2	0.00098419189453125
3	0.00064849853515625
4	0.000553131103515625
5	0.00055694580078125
6	0.000537872314453125
7	0.000514984130859375
8	0.000499725341796875
9	0.00048828125
10	0.000476837158203125
11	0.000469207763671875
12	0.0004673004150390625
13	0.000461578369140625
14	0.0004520416259765625
15	0.0004444122314453125
16	0.000438690185546875
17	0.00043487548828125
18	0.000431060791015625
19	0.00042724609375
20	0.000423431396484375
21	0.0004215240478515625
22	0.0004177093505859375
23	0.0004138946533203125
24	0.0004119873046875
25	0.0004100799560546875
26	0.0004062652587890625
27	0.00040435791015625
28	0.0004024505615234375
29	0.000400543212890625
30	0.0003986358642578125
31	0.000396728515625
32	0.0003948211669921875
33	0.000392913818359375
34	0.000392913818359375
35	0.0003910064697265625
36	0.00038909912109375
37	0.00038909912109375
38	0.0003871917724609375
39	0.000385284423828125
40	0.000385284423828125
41	0.0003833770751953125
42	0.0003833770751953125
43	0.0003814697265625
44	0.0003795623779296875
45	0.0003795623779296875
46	0.000377655029296875
47	0.000377655029296875
48	0.0003757476806640625
49	0.0003757476806640625
50	0.00037384033203125
51	0.00037384033203125
52	0.0003719329833984375
53	0.0003719329833984375
54	0.000370025634765625
55	0.000370025634765625
56	0.0003681182861328125
57	0.0003681182861328125
58	0.0003662109375
59	0.0003662109375
60	0.0003643035888671875
61	0.0003643035888671875
62	0.000362396240234375
63	0.000362396240234375
64	0.0003604888916015625
65	0.0003604888916015625
66	0.00035858154296875
67	0.00035858154296875
68	0.0003566741943359375
69	0.0003566741943359375
70	0.000354766845703125
71	0.000354766845703125
72	0.0003528594970703125
73	0.0003528594970703125
74	0.0003509521484375
75	0.0003509521484375
76	0.0003490447998046875
77	0.0003490447998046875
78	0.000347137451171875
79	0.000347137451171875
80	0.0003452301025390625
81	0.0003452301025390625
82	0.00034332275390625
83	0.00034332275390625
84	0.0003414154052734375
85	0.0003414154052734375
86	0.000339508056640625
87	0.000339508056640625
88	0.0003376007080078125
89	0.0003376007080078125
90	0.000335693359375
91	0.0003337860107421875
92	0.0003337860107421875
93	0.000331878662109375
94	0.000331878662109375
95	0.0003299713134765625
96	0.0003299713134765625
97	0.00032806396484375
98	0.00032806396484375
99	0.0003261566162109375
100	0.000324249267578125
101	0.000324249267578125
102	0.0003223419189453125
103	0.0003223419189453125
104	0.0003204345703125
105	0.0003204345703125
106	0.0003185272216796875
107	0.000316619873046875
108	0.000316619873046875
109	0.0003147125244140625
110	0.0003147125244140625
111	0.00031280517578125
112	0.0003108978271484375
113	0.0003108978271484375
114	0.000308990478515625
115	0.000308990478515625
116	0.0003070831298828125
117	0.00030517578125
118	0.00030517578125
119	0.0003032684326171875
120	0.000301361083984375
121	0.000301361083984375
122	0.0002994537353515625
123	0.0002994537353515625
124	0.00029754638671875
125	0.0002956390380859375
126	0.0002956390380859375
127	0.000293731689453125
128	0.0002918243408203125
129	0.0002918243408203125
130	0.0002899169921875
131	0.0002880096435546875
132	0.0002880096435546875
133	0.000286102294921875
134	0.000286102294921875
135	0.0002841949462890625
136	0.00028228759765625
137	0.00028228759765625
138	0.0002803802490234375
139	0.000278472900390625
140	0.000278472900390625
141	0.0002765655517578125
142	0.000274658203125
143	0.000274658203125
144	0.0002727508544921875
145	0.000270843505859375
146	0.000270843505859375
147	0.0002689361572265625
148	0.00026702880859375
149	0.00026702880859375
150	0.0002651214599609375
151	0.000263214111328125
152	0.000263214111328125
153	0.0002613067626953125
154	0.0002593994140625
155	0.0002593994140625
156	0.0002574920654296875
157	0.0002574920654296875
158	0.000255584716796875
159	0.0002536773681640625
160	0.0002536773681640625
161	0.00025177001953125
162	0.0002498626708984375
163	0.0002498626708984375
164	0.000247955322265625
165	0.0002460479736328125
166	0.0002460479736328125
167	0.000244140625
168	0.00024318695068359375
169	0.0002422332763671875
170	0.000240325927734375
171	0.00023937225341796875
172	0.0002384185791015625
173	0.00023746490478515625
174	0.00023555755615234375
175	0.0002346038818359375
176	0.00023365020751953125
177	0.000232696533203125
178	0.00023174285888671875
179	0.00022983551025390625
180	0.0002288818359375
181	0.00022792816162109375
182	0.0002269744873046875
183	0.00022602081298828125
184	0.000225067138671875
185	0.0002231597900390625
186	0.00022220611572265625
187	0.00022125244140625
188	0.00022029876708984375
189	0.0002193450927734375
190	0.00021839141845703125
191	0.00021648406982421875
192	0.0002155303955078125
193	0.00021457672119140625
194	0.000213623046875
195	0.00021266937255859375
196	0.0002117156982421875
197	0.00021076202392578125
198	0.000209808349609375
199	0.00020885467529296875
200	0.0002079010009765625
201	0.00020599365234375
202	0.00020503997802734375
203	0.0002040863037109375
204	0.00020313262939453125
205	0.000202178955078125
206	0.00020122528076171875
207	0.0002002716064453125
208	0.00019931793212890625
209	0.0001983642578125
210	0.00019741058349609375
211	0.0001964569091796875
212	0.00019550323486328125
