tensor	shape	abs_err_l2	rel_err_l2	abs_err_l1	rel_err_l1	max_diff	cos_sim	mismatch_count	mismatch_rate
attn_out.bin	32x32x128	0.6743261218070984	0.010967519124385386	163.13595581054688	0.010312915129618289	0.03125	0.999973015323767	0	0.0
attn_proj.bin	32x32x128	0.20168450474739075	0.013981504936000458	52.203460693359375	0.013581206996095704	0.005859375	0.9999684763001376	0	0.0
attn_scores.bin	128x32x32	0.9968492388725281	0.010208046434965772	254.97048950195312	0.009494630986960972	0.03125	0.9999666281733685	0	0.0
attn_scores_masked.bin	128x32x32	0.7263759970664978	2.887964563448899e-12	133.00381469726562	2.09862861103174e-12	0.03125	1.0000601457934155	0	0.0
attn_weights.bin	128x32x32	0.16262127459049225	0.0070022660608107315	19.325469970703125	0.004718127255064809	0.0078125	0.9999854452416522	0	0.0
ffn_gelu.bin	32x32x512	1.1495530605316162	0.010072857791033975	590.5321044921875	0.009677399285923474	0.015625	0.9999158803120767	0	0.0
ffn_w1_bias.bin	1x1x512	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ffn_w1_bias_grad.bin	1x1x512	1.3420149116427638e-05	0.014988693033496911	0.0002321212086826563	0.014338121675878661	2.86102294921875e-06	0.9999940462684641	0	0.0
ffn_w1_out.bin	32x32x512	1.956196904182434	0.009287935669065668	1078.5206298828125	0.008894065352103494	0.015625	0.9999146107091443	0	0.0
ffn_w1_weight.bin	512x128	0.0	0.0	0.0	0.0	0.0	1.000004496071152	0	0.0
ffn_w1_weight_grad.bin	512x128	0.00011187155178049579	0.020223618327650766	0.018231751397252083	0.019522670023118218	4.76837158203125e-06	0.999984004956078	0	0.0
ffn_w2_bias.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ffn_w2_bias_grad.bin	1x1x128	3.367044701008126e-05	0.013974161484901574	0.00030966848134994507	0.013551657072023401	7.62939453125e-06	0.9999938237430555	0	0.0
ffn_w2_out.bin	32x32x128	0.3220708668231964	0.00980665163795632	88.32168579101562	0.009571444925996014	0.005859375	0.9999556178903795	0	0.0
ffn_w2_weight.bin	128x512	0.0	0.0	0.0	0.0	0.0	1.0000038265295264	0	0.0
ffn_w2_weight_grad.bin	128x512	0.00010545301483944058	0.023216574654836945	0.017522506415843964	0.02280286907075955	2.86102294921875e-06	0.9999617062205314	0	0.0
k.bin	32x32x128	0.7684627771377563	0.005678781929068261	195.7537384033203	0.005035501358153644	0.015625	0.9999861170092635	0	0.0
k_heads.bin	128x32x32	0.7684628367424011	0.005678780448528168	195.7537078857422	0.005035501585094868	0.015625	0.9999861117005341	0	0.0
lm_head_bias.bin	1x1x160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
lm_head_bias_grad.bin	1x1x160	4.1335126297781244e-05	0.011153835727020375	0.0003816932439804077	0.010426125921591917	1.52587890625e-05	0.9999918669701043	0	0.0
lm_head_weight.bin	160x128	0.0	0.0	0.0	0.0	0.0	1.0000047589288938	0	0.0
lm_head_weight_grad.bin	160x128	6.169102562125772e-05	0.01834687953346914	0.005163783207535744	0.018099616787133063	5.7220458984375e-06	0.9999850185252438	0	0.0
ln1_beta.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ln1_beta_grad.bin	1x1x128	6.974255938985152e-06	0.025887970985933664	6.368197500705719e-05	0.02574338164243598	1.430511474609375e-06	0.9999510716416431	0	0.0
ln1_gamma.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	1.0000000342285429	0	0.0
ln1_gamma_grad.bin	1x1x128	1.4888504438204109e-06	0.024742135181808796	1.180451363325119e-05	0.022669856201852807	4.76837158203125e-07	0.9999120345513057	0	0.0
ln1_out.bin	32x32x128	1.6377614736557007	0.004552491933001218	343.50225830078125	0.0032212944761258505	0.03125	0.9999815053131277	0	0.0
ln2_beta.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
ln2_beta_grad.bin	1x1x128	4.869137683272129e-06	0.01941458982430905	4.318356513977051e-05	0.019615507613420347	1.430511474609375e-06	0.9999863718067661	0	0.0
ln2_gamma.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	1.0000000342285429	0	0.0
ln2_gamma_grad.bin	1x1x128	3.306881581011112e-06	0.01521102460794268	2.3844651877880096e-05	0.013173510036217789	1.1920928955078125e-06	0.9999801038045033	0	0.0
ln2_out.bin	32x32x128	3.523460626602173	0.009758599135351638	970.426025390625	0.00925182022419856	0.046875	0.9999471171002003	0	0.0
logits.bin	32x32x160	0.12767550349235535	0.010329555846161485	38.80153274536133	0.009979044846501566	0.00244140625	0.9999561988504427	0	0.0
logits_grad.bin	32x32x160	2.0449949715839466e-06	0.011343571691063075	0.0006136433803476393	0.010602274715791298	4.470348358154297e-08	0.9999543711571388	0	0.0
loss.bin	1x1x1	1.52587890625e-05	0.011494252864904743	1.52587890625e-05	0.011494252864904743	1.52587890625e-05	1.0	0	0.0
output.bin	32x32x128	0.3765426278114319	0.009753458144423239	102.71187591552734	0.009464372055908535	0.0068359375	0.9999591726429273	0	0.0
pos_embed.bin	32x32x128	0.0	0.0	0.0	0.0	0.0	1.0000018029835889	0	0.0
pos_u32.bin	32x32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
pos_weight.bin	32x128	0.0	0.0	0.0	0.0	0.0	1.00000015298713	0	0.0
pos_weight_grad.bin	1x1x32x128	0.00014084343274589628	0.061806864561413814	0.006510257255285978	0.05955147048044993	1.33514404296875e-05	0.9999062851020328	0	0.0
q.bin	32x32x128	0.7640571594238281	0.005754914259411711	193.7649688720703	0.005050864387767466	0.015625	0.9999862825288267	0	0.0
q_heads.bin	128x32x32	0.7640572786331177	0.005754913834478164	193.76495361328125	0.0050508645043167814	0.015625	0.9999857070524787	0	0.0
residual1.bin	32x32x128	0.19826310873031616	0.010862298172979679	50.34282684326172	0.009824958216193828	0.005859375	0.9999580749418728	0	0.0
target.bin	32x32x160	0.0	0.0	0.0	0.0	0.0	0.999997949291435	0	0.0
tok_embed.bin	32x32x128	0.0	0.0	0.0	0.0	0.0	1.0000055138923016	0	0.0
tok_plus_pos.bin	32x32x128	0.0240179393440485	0.002246010499158672	2.5521888732910156	0.0008057222844858447	0.00048828125	0.999992106496502	0	0.0
tok_weight.bin	160x128	0.0	0.0	0.0	0.0	0.0	1.0000055025369063	0	0.0
tok_weight_grad.bin	1x1x160x128	3.0967697966843843e-05	0.031163213551703477	0.003013918874785304	0.029011376287754298	1.430511474609375e-06	0.9999179124644721	0	0.0
tokens_u32.bin	32x32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
v.bin	32x32x128	0.8030346632003784	0.0053181683925286145	197.81503295898438	0.004825630903377222	0.015625	0.999982966755959	0	0.0
v_heads.bin	128x32x32	0.8030346632003784	0.00531816892994387	197.81503295898438	0.004825630903377222	0.015625	0.9999833717008435	0	0.0
wk_bias.bin	1x1x128	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0
wk_bias_grad.bin	1x1x128	7.710883664913126e-08	9.150097845523618	7.051515922285034e-07	9.672218557681465	2.2218955564312637e-08	0.1563958179635183	0	0.0
wk_weight.bin	128x128	0.0	0.0	0.0	0.0	0.0	1.0000042754927443	0	0.0
wk_weight_grad.bin	128x128	5.198417511564912e-06	0.027131845525514963	0.00048218597657978535	0.027265257682858614	2.384185791015625e-07	0.9999768714200792	0	0.0
