tensor	shape	abs_err_l2	rel_err_l2	abs_err_l1	rel_err_l1	max_diff	cos_sim	mismatch_count	mismatch_rate
loss.bin	1x1x1	7.62939453125e-06	0.006172839501178479	7.62939453125e-06	0.006172839501178479	7.62939453125e-06	1.0	0	0.0
pos_embed.bin	32x32x128	0.0	0.0	0.0	0.0	0.0	1.0000018029835889	0	0.0
pos_u32.bin	32x32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
pos_weight.bin	32x128	0.0	0.0	0.0	0.0	0.0	1.00000015298713	0	0.0
pos_weight_grad.bin	1x1x32x128	2.7442189093562774e-05	0.04081331901901817	0.0014390754513442516	0.03932329081520527	1.3113021850585938e-06	0.99994197641011	0	0.0
target.bin	32x32x128	0.0	0.0	0.0	0.0	0.0	1.0000025923983353	0	0.0
tok_embed.bin	32x32x128	0.0	0.0	0.0	0.0	0.0	1.0000055138923016	0	0.0
tok_plus_pos.bin	32x32x128	0.0240179393440485	0.002246010499158672	2.5521888732910156	0.0008057222844858447	0.00048828125	0.999992106496502	0	0.0
tok_weight.bin	160x128	0.0	0.0	0.0	0.0	0.0	1.0000055025369063	0	0.0
tok_weight_grad.bin	1x1x160x128	3.847652351396391e-06	0.010653924691059106	0.0003052591346204281	0.007564026976962746	2.384185791015625e-07	0.9999812709931081	0	0.0
tokens_u32.bin	32x32	0.0	0.0	0.0	0.0	0.0	1.0	0	0.0
